key,category,zh-TW,note
inventory.formation.cost.reverse-note,背包,按陣法與陣盤倍率反算,
inventory.formation.cost.spirit-stone,背包,消耗靈石,
inventory.formation.current,背包,當前,
inventory.formation.default-duration,背包,預設,
inventory.formation.default-radius,背包,預設,
inventory.formation.disk,背包,陣盤,
inventory.formation.disk-multiplier,背包,陣盤增幅 {multiplier} 倍,
inventory.formation.effect.intro,背包,效果介紹,
inventory.formation.effect.range,背包,範圍說明,
inventory.formation.effect.scaling,背包,強度含義,
inventory.formation.effect.target,背包,作用對象,
inventory.formation.effect.visibility,背包,可見/通行,
inventory.formation.field.duration,背包,持續,
inventory.formation.field.effect,背包,基礎強度,
inventory.formation.field.range,背包,範圍,
inventory.formation.field.template,背包,陣法,
inventory.formation.min-effect,背包,最小,
inventory.formation.preview,背包,預覽,
inventory.formation.preview.common,背包,通用預覽,
inventory.formation.preview.unique,背包,獨有效果預覽,
inventory.formation.stat.active-cost,背包,開啟消耗,
inventory.formation.stat.duration,背包,預計持續時間,
inventory.formation.stat.effect,背包,實際效果,
inventory.formation.stat.inactive-cost,背包,關閉消耗,
inventory.formation.stat.radius,背包,半徑,
inventory.formation.stat.total-aura,背包,總靈力,
inventory.formation.stat.total-stones,背包,總靈石,
inventory.formation.subtitle,背包,{itemName} · {tier} · {multiplier} 倍靈力,
inventory.formation.title,背包,佈置陣法,
inventory.load-more,背包,向下滾動繼續加載（已顯示 {rendered} / {total}）,
inventory.modal.item-subtitle,背包,{type} · 數量 {count},
inventory.modal.item-subtitle.count-only,背包,{itemName} · 數量 {count},
inventory.preview-range,背包,預覽範圍：{shape}半徑 {radius},
inventory.sect-founding.confirm,背包,建立宗門,
inventory.sect-founding.dialog.hint,背包,點擊空白處取消,
inventory.sect-founding.dialog.subtitle,背包,{itemName} · 當前位置開闢山門,
inventory.sect-founding.dialog.title,背包,建立宗門,
inventory.sect-founding.mark-invalid,背包,宗門印記只能是一個字。,
inventory.sect-founding.mark-label,背包,宗門印記,
inventory.sect-founding.mark-placeholder,背包,單字,
inventory.sect-founding.name-invalid,背包,宗門名稱需為 2 到 12 個字。,
inventory.sect-founding.name-label,背包,宗門名稱,
inventory.sect-founding.name-placeholder,背包,例如：青玄宗,
inventory.source.collapse,背包,收起來源,
inventory.source.expand-all,背包,展開全部來源（{count}）,
inventory.special-use.root-seed.divine.line-1,背包,使用後，五行靈根會直接全部固定為 100。,
inventory.special-use.root-seed.divine.title,背包,確認使用神品靈根幼苗,
inventory.special-use.root-seed.heaven.line-1,背包,使用後，五行靈根會先全部定為 99，再逐項以 50% 概率升到 100，且至少保底一項為 100。,
inventory.special-use.root-seed.heaven.title,背包,確認使用天品靈根幼苗,
inventory.special-use.root-seed.line-2,背包,當前底蘊 {foundation}，本次會消耗 {foundationCost}，使用後剩餘 {remainingFoundation}。,
inventory.special-use.root-seed.line-3,背包,當前逆天改命累計 {currentRerollCount} 次，使用後會額外增加 {gainedRerollCount} 次，變為 {nextRerollCount} 次。,
inventory.special-use.shatter-spirit-pill.line-1,背包,使用後會立刻重置天門，清掉當前已開出的靈根結果，並回到可重新開天門的狀態。,
inventory.special-use.shatter-spirit-pill.line-2,背包,當前境界修為 {currentExp}，本次會消耗 {expCost}，使用後剩餘 {remainingExp}。,
inventory.special-use.shatter-spirit-pill.line-3,背包,當前逆天改命累計 {currentRerollCount} 次，使用後會額外增加 1 次，變為 {nextRerollCount} 次。,
inventory.special-use.shatter-spirit-pill.title,背包,確認使用碎靈丹,
inventory.status.learned,背包,已學,
inventory.status.read,背包,已閱,
inventory.technique-learning-warning.cancel,背包,取消學習,
inventory.technique-learning-warning.confirm,背包,確認學習,
inventory.technique-learning-warning.line-1,背包,目標功法當前過於晦澀難懂，獲得的經驗值會大幅衰減。,
inventory.technique-learning-warning.line-2,背包,你當前比這門功法低 {gap} 個境界，已超過 {threshold} 個境界的提醒閾值。,
inventory.technique-learning-warning.line-3,背包,確認後仍會照常學習；若暫時不學，點取消即可返回。,
inventory.technique-learning-warning.title,背包,確認學習 {name},
inventory.title,背包,背包,
inventory.title.with-count,背包,背包 ({count}/{capacity}),
inventory.use-confirm.instructions,背包,使用說明,
side-panel.toggle.bottom.collapse,佈局,收起下方面板,
side-panel.toggle.bottom.expand,佈局,展開下方面板,
side-panel.toggle.left.collapse,佈局,收起左側區域,
side-panel.toggle.left.expand,佈局,展開左側區域,
side-panel.toggle.right.collapse,佈局,收起右側區域,
side-panel.toggle.right.expand,佈局,展開右側區域,
craft.workbench.modal.back,彈層,返回,
craft.workbench.modal.close,彈層,關閉,
craft.workbench.modal.close-hint,彈層,點擊空白處關閉,
detail-modal.hint.close,彈層,點擊空白處關閉,
modal.confirm.cancel,彈層,取消,確認彈層取消按鈕
modal.confirm.ok,彈層,確認,確認彈層確認按鈕
modal.detail.close-hint,彈層,點擊空白處關閉,詳情彈層預設關閉提示
navigation.toast.no-nearby-position,導航,找不到能靠近該場景人物的位置,
map-interaction.toast.build-out-of-range,地圖交互,超出建造範圍，最多 {range} 格,
map-interaction.toast.cast-out-of-range,地圖交互,超出施法範圍，最多 {range} 格,
map-interaction.toast.inspect-visible-only,地圖交互,僅可察視當前可見之地,
map-interaction.toast.loot-out-of-range,地圖交互,超出拿取範圍，最多 {range} 格,
map-interaction.toast.no-target,地圖交互,此處無可用之目標,
map-interaction.toast.projection-observe-only,地圖交互,窗外投影當前僅支持觀察,
map-interaction.toast.select-visible-tile,地圖交互,請選擇當前視野內的目標格,
map-interaction.toast.sense-visible-only,地圖交互,神識僅可觸及視野之內,
map-interaction.toast.target-required,地圖交互,此術需有指向之目標,
map-interaction.toast.unknown-tile,地圖交互,未知之地，未可踏足,
map-interaction.toast.unreachable,地圖交互,此地無法抵達,
map-render.buff.overflow,地圖渲染,其餘 {count} 項,範圍D固定前端可見文本
map-render.entity.building,地圖渲染,建築,範圍D固定前端可見文本
map-render.entity.container,地圖渲染,箱具,範圍D固定前端可見文本
map-render.entity.crowd,地圖渲染,人群,範圍D固定前端可見文本
map-render.entity.formation,地圖渲染,陣法,範圍D固定前端可見文本
map-render.entity.mechanism,地圖渲染,機關,範圍D固定前端可見文本
map-render.entity.monster,地圖渲染,妖獸,範圍D固定前端可見文本
map-render.entity.npc,地圖渲染,道人,範圍D固定前端可見文本
map-render.entity.player,地圖渲染,修士,範圍D固定前端可見文本
map-render.entity.portal,地圖渲染,傳送點,範圍D固定前端可見文本
map-render.ground.overflow,地圖渲染,其餘 {count} 種,範圍D固定前端可見文本
map-render.ground.overflow-mark,地圖渲染,餘,範圍D固定前端可見文本
map-render.local-player-char,地圖渲染,我,範圍D固定前端可見文本
map-render.respawn-countdown,地圖渲染,回生 {countdown},範圍D固定前端可見文本
map-render.seconds,地圖渲染,{seconds}息,範圍D固定前端可見文本
login.bootstrap.in-progress,登入,正在接引角色進入世界...,等待 Socket Bootstrap 首包
login.display-name.available,登入,此道號可用,顯示名可用狀態
login.display-name.check-failed,登入,驗查未果,顯示名檢查異常兜底
login.display-name.checking,登入,正在驗查...,顯示名遠端檢查中
login.display-name.required,登入,註冊時必填,顯示名必填狀態
login.display-name.taken,登入,此道號已被佔用,顯示名佔用兜底
login.error.login-failed,登入,登入失敗,登入接口異常兜底
login.error.register-failed,登入,註冊失敗,註冊接口異常兜底
login.login-name.label,登入,賬號 / 角色名,登入名標籤
login.login-name.placeholder,登入,輸入賬號或角色名,登入名輸入框佔位
login.mode.login,登入,登入,登入模式按鈕和提交按鈕
login.mode.register,登入,註冊,註冊模式按鈕和提交按鈕
login.restore.failed,登入,重歸失敗,會話恢復失敗兜底
login.restore.in-progress,登入,正在重歸天地...,會話恢復狀態
loot.action.gathering,掉落,連續採摘中,
loot.action.start-gather,掉落,開始採摘,
loot.action.stop-gather,掉落,停止採集,
loot.action.stop-search,掉落,停止搜索,
loot.action.take,掉落,拿取,
loot.action.take-all,掉落,全部拿取,
loot.empty.none,掉落,這裡什麼都沒有。,
loot.herb.available,掉落,可採集,
loot.herb.gather-ticks,掉落,採集 {ticks} 息,
loot.herb.respawn-ticks,掉落,回生 {ticks} 息,
loot.herb.respawning,掉落,回生中,
loot.herb.start-hint,掉落,點擊開始連續採摘,
loot.herb.start-title,掉落,點擊開始連續採摘當前草藥,
loot.herb.stock-count,掉落,存量 {count} 朵,
loot.item.type.container,掉落,容器,
loot.item.type.current-stock,掉落,當前庫存,
loot.item.type.ground,掉落,地面,
loot.modal.subtitle.coords,掉落,"座標 ({x}, {y})",
loot.search.heading.harvest,掉落,連續採摘中,
loot.search.heading.herb,掉落,採集中,
loot.search.heading.search,掉落,搜索中,
loot.search.progress,掉落,{elapsed} / {total} 息,
loot.source.container-search,掉落,容器搜索{grade},
loot.source.ground,掉落,直接拾取,
loot.source.herb-gather,掉落,草藥採集{grade},
auction.action.buy,坊市,確認購買,
auction.action.buyout,坊市,確認一口價,
auction.bid-history.empty,坊市,暫無出價記錄。,
auction.bid-history.title,坊市,出價記錄,
auction.bidder.anonymous,坊市,匿名修士 {index},
auction.countdown,坊市,剩餘時間,
auction.empty.select-lot,坊市,請選擇左側拍品。,
auction.filter.all,坊市,全部分類,
auction.filter.note,坊市,拍賣行交易收取 5% 手續費，最低 100 靈石。,
auction.filter.placeholder,坊市,輸入拍品名,
auction.filter.search,坊市,搜索拍品,
auction.loading,坊市,拍賣行行情查探中...,
auction.ribbon.mine,坊市,我的寄拍,
auction.subtitle,坊市,競價拍品與寄拍管理,
auction.summary.active,坊市,正在拍賣,
auction.summary.buyout,坊市,{count} 件可一口價,
auction.tab.history,坊市,成交記錄,
auction.tab.mine,坊市,我的寄拍,
auction.tab.participate,坊市,參與拍賣,
auction.title,坊市,拍賣行,
market.auction.action.bid,坊市,出價,
market.auction.action.buyout,坊市,一口價,
market.auction.action.cancel-consign,坊市,撤回寄拍,
market.auction.action.create,坊市,發起拍賣,
market.auction.bid-count,坊市,{count} 次出價,
market.auction.card.mine,坊市,我的寄拍,
market.auction.card.my-bids,坊市,{count} 件正在競價,
market.auction.card.participate,坊市,參與拍賣,
market.auction.card.storage-count,坊市,{count} 件待結算,
market.auction.consign.buyout-price,坊市,一口價,
market.auction.consign.close,坊市,收起,
market.auction.consign.duration-hours,坊市,持續時間（小時）,
market.auction.consign.duration-range,坊市,{min}-{max} 小時，預設 {default} 小時。,
market.auction.consign.empty,坊市,背包裡暫無可寄拍物品。,
market.auction.consign.filtered-selected,坊市,當前已選物品被搜索條件隱藏，仍會按已選物品寄拍。,
market.auction.consign.hour-unit,坊市,小時,
market.auction.consign.insufficient-fee,坊市,{currencyName}不足，上架需要 {listingFee}。,
market.auction.consign.invalid-total,坊市,當前數量和總價無法形成有效拍賣價格。,
market.auction.consign.listing-fee,坊市,上架費,
market.auction.consign.no-buyout,坊市,不支持一口價,
market.auction.consign.no-selection,坊市,未選擇,
market.auction.consign.package,坊市,打包 {count} 件,
market.auction.consign.package-count,坊市,寄拍數量,
market.auction.consign.search,坊市,搜索物品,
market.auction.consign.search-empty,坊市,沒有匹配的可寄拍物品。,
market.auction.consign.search-placeholder,坊市,輸入物品名稱,
market.auction.consign.select-hint,坊市,先選擇要打包寄拍的背包物品。,
market.auction.consign.start-price,坊市,起拍總價,
market.auction.consign.submit,坊市,確認寄拍,
market.auction.consign.subtitle,坊市,選擇背包物品，按整包總價打包寄拍。,
market.auction.consign.title,坊市,發起拍賣,
market.auction.consign.total-hint,坊市,起拍總價 {totalPrice} {currencyName}，一口價 {buyoutPrice}，持續 {durationHours} 小時，上架費 {listingFee} {currencyName}。,
market.auction.consign.visible-count,坊市,{visible} / {total} 件,
market.auction.empty.mine,坊市,當前沒有寄拍中的物品。,
market.auction.empty.participate,坊市,當前篩選下暫無可參與拍品。,
market.auction.feed.empty,坊市,暫無拍賣動態。,
market.auction.feed.status.bid,坊市,競價,
market.auction.feed.status.buyout,坊市,可一口,
market.auction.head.buyout-price,坊市,一口價,
market.auction.head.current-price,坊市,當前價,
market.auction.head.item,坊市,物品,
market.auction.head.list-price,坊市,寄拍價,
market.auction.head.quality,坊市,品質,
market.auction.head.remaining,坊市,剩餘,
market.auction.head.remaining-time,坊市,剩餘時間,
market.auction.head.status,坊市,狀態,
market.auction.hint.bid-and-buyout,坊市,出價按當前總價加一檔起拍；一口價會先確認再嘗試立即成交。,
market.auction.hint.remaining,坊市,剩餘數量 {count}，撤回後返還至託管倉與背包。,
market.auction.hint.repeat-bid,坊市,你已經對這件物品發起競價，不能重複出價。,
market.auction.history.role.buyer,坊市,買家,
market.auction.history.role.seller,坊市,賣家,
market.auction.history.scope.all,坊市,全部記錄,
market.auction.history.scope.mine,坊市,我的記錄,
market.auction.history.side.traded,坊市,成交,
market.auction.history.title.all,坊市,全服成交記錄,
market.auction.history.title.default,坊市,成交記錄,
market.auction.history.title.mine,坊市,我的成交記錄,
market.auction.history.unknown-player,坊市,未知玩家,
market.auction.mine.copy,坊市,撤回寄拍後，剩餘物品返還至託管倉與背包。,
market.auction.mine.status.consigning,坊市,寄拍中 {count},
market.auction.mine.status.failed,坊市,流拍 {count},
market.auction.mine.status.sold,坊市,已成交 {count},
market.auction.mine.title,坊市,寄拍狀態,
market.auction.open,坊市,打開拍賣行,
market.auction.refresh,坊市,刷新列表,
market.auction.summary.copy,坊市,競價、關注和寄拍集中在獨立拍賣行界面處理，簡報只顯示當前可參與狀態。,
market.auction.summary.title,坊市,拍賣簡報,
market.book.action.buy,坊市,購買,
market.book.action.buy-request,坊市,求購,
market.book.action.sell,坊市,掛售,
market.book.action.sell-request,坊市,出售,
market.book.column.buy,坊市,求購,
market.book.column.sell,坊市,掛售,
market.book.empty.buy,坊市,暫無求購。,
market.book.empty.enhance-level,坊市,選定具體強化等級後查看盤面。,
market.book.empty.sell,坊市,暫無售單。,
market.book.group.hint.enhance,坊市,該裝備有強化等級區分，點擊左側條目後會先進入強化等級列表。,
market.book.group.hint.normal,坊市,點擊左側物品後，這裡會顯示當前掛售、求購和快捷交易入口。,
market.book.loading.buy,坊市,買盤查探中...,
market.book.loading.sell,坊市,賣盤查探中...,
market.book.subtitle.enhance-select,坊市,該裝備支持強化，請先從左側選擇要交易的強化等級。,
market.book.subtitle.group,坊市,{typeLabel} · 點擊左側物品查看具體盤面,
market.empty.category,坊市,當前分類下暫時沒有物品。,
market.empty.select-item,坊市,請選擇左側物品。,
market.enhance.attempts,坊市,期望次數,
market.enhance.no-protection,坊市,無保護,
market.enhance.none,坊市,暫無,
market.enhance.pending,坊市,查探中,
market.enhance.time,坊市,期望時間,
market.enhance.title,坊市,強化估算,
market.filter.all,坊市,全部,
market.filter.equipment-all,坊市,全部裝備,
market.filter.technique-all,坊市,全部功法,
market.history.empty,坊市,尚無交易往來。,
market.history.loading,坊市,交易記錄調閱中...,
market.history.side.buy,坊市,購入,
market.history.side.sell,坊市,售出,
market.loading,坊市,坊市行情查探中...,
market.my-orders.buy,坊市,我的求購,
market.my-orders.empty.buy,坊市,當前沒有求購掛單。,
market.my-orders.empty.sell,坊市,當前沒有掛售單。,
market.my-orders.sell,坊市,我的掛售,
market.order.cancel,坊市,取消訂單,
market.order.side.buy,坊市,求購,
market.order.side.sell,坊市,掛售,
market.pane.hint,坊市,坊市支持匿名掛售、求購與自動撮合，成交物會優先嚐試進入背包，放不下時轉入托管倉。,
market.pane.open,坊市,打開坊市,
market.pane.stat.listed,坊市,可見盤面,
market.pane.stat.orders,坊市,我的掛單,
market.pane.stat.storage,坊市,託管物品,
market.pane.title,坊市,坊市,
market.price.buy,坊市,買 {price},
market.price.sell,坊市,賣 {price},
market.side-tabs.title,坊市,坊市分欄,
market.status.learned,坊市,已學,
market.status.unlocked,坊市,已閱,
market.storage.claim-all,坊市,全部領取,
market.storage.empty,坊市,託管倉空空如也。,
market.storage.title,坊市,坊市託管倉,
market.subtitle,坊市,天下修士互通有無,
market.tab.market,坊市,市場,
market.tab.my-orders,坊市,我的交易,
market.tab.trade-history,坊市,交易記錄,
market.tab.transmission,坊市,傳法臺,
market.title,坊市,坊市,
market.toolbar.page,坊市,共 {total} 件，第 {page} / {totalPages} 頁,
market.toolbar.variants,坊市,{itemName} · 共 {totalVariants} 個強化等級,
market.trade.action.bid,坊市,確認加價,
market.trade.action.buy,坊市,確認求購,
market.trade.action.max,坊市,最大,
market.trade.action.sell,坊市,確認掛售,
market.trade.buy-confirm.estimate,坊市,撮合預估,
market.trade.buy-confirm.immediate,坊市,預計立即成交,
market.trade.buy-confirm.max-reserved,坊市,最高佔用,
market.trade.buy-confirm.pending,坊市,剩餘掛單,
market.trade.buy-confirm.pending-count,坊市,{count} 件,
market.trade.buy-confirm.quantity,坊市,購買數量,
market.trade.buy-confirm.refund-hint,坊市,若賣盤成交價低於出價，差額將自動退還。,
market.trade.buy-confirm.summary.direct,坊市,預計會按當前賣盤直接成交 {immediateQuantity} 件。,
market.trade.buy-confirm.summary.pending,坊市,當前無法保證立刻成交，確認後會按當前單價掛出求購單。,
market.trade.buy-confirm.summary.split,坊市,預計先按當前賣盤成交 {immediateQuantity} 件，剩餘 {pendingQuantity} 件會繼續掛為求購單。,
market.trade.buy-confirm.unit-price,坊市,單價 {unitPrice} {currencyName},
market.trade.buyout-confirm.insufficient,坊市,{currencyName}不足，無法按一口價成交。,
market.trade.buyout-confirm.lot-no,坊市,拍品編號,
market.trade.buyout-confirm.price,坊市,一口價,
market.trade.buyout-confirm.quantity,坊市,成交數量,
market.trade.buyout-confirm.quantity-value,坊市,{count} 件,
market.trade.buyout-confirm.ready,坊市,確認後會按一口價發起立即成交，不再進入加價輸入。,
market.trade.buyout-confirm.total,坊市,本次支付,
market.trade.field.quantity,坊市,數量,
market.trade.field.total,坊市,總價,
market.trade.field.unit-price,坊市,單價,
market.trade.hint.conflict-buy,坊市,你已在掛售這件物品，不能再求購。,
market.trade.hint.conflict-sell,坊市,你已在求購這件物品，不能再掛售。,
market.trade.hint.insufficient-currency,坊市,{currencyName}不足，當前需要 {totalCost}。,
market.trade.hint.insufficient-step.buy,坊市,當前 {currencyName} 或數量上限不足以按該單價成交至少 {quantityStep} 件。,
market.trade.hint.insufficient-step.sell,坊市,當前持有數量不足 {quantityStep} 件，不能按該單價掛售。,
market.trade.hint.min-bid,坊市,最低加價為 {unitPrice} {currencyName}，價格只按坊市檔位遞增或遞減。,
market.trade.hint.quantity-step,坊市,當前單價下必須按 {quantityStep} 件的倍數交易，{currencyName} x1 可買 {quantityStep} 件。,
market.trade.title.bid,坊市,拍賣加價,
market.trade.title.buy,坊市,發起求購,
market.trade.title.sell,坊市,發起掛售,
market.trade.total.bid,坊市,出價佔用,
market.trade.total.buy,坊市,總價,
market.trade.total.sell,坊市,總額,
market.transmission.action.buy,坊市,求取此法,
market.transmission.action.cancel,坊市,撤回寄售,
market.transmission.category.all,坊市,全部功法,
market.transmission.category.label,坊市,功法分類,
market.transmission.category.unknown,坊市,未分類,
market.transmission.consign.choose,坊市,選擇殘卷,
market.transmission.consign.close,坊市,收起,
market.transmission.consign.empty,坊市,暫無可上架殘卷。,
market.transmission.consign.no-selection,坊市,未選擇殘卷,
market.transmission.consign.open,坊市,上架殘卷,
market.transmission.consign.open-short,坊市,從背包選擇,
market.transmission.consign.search-empty,坊市,沒有匹配的殘卷。,
market.transmission.consign.selected,坊市,已選殘卷,
market.transmission.consign.submit,坊市,確認上架,
market.transmission.consign.title,坊市,上架殘卷,
market.transmission.consign.visible-count,坊市,{visible} / {total} 卷,
market.transmission.empty.mine,坊市,暫無寄售中的功法殘卷。,
market.transmission.empty.participate,坊市,當前篩選下暫無功法殘卷。,
market.transmission.empty.select,坊市,請選擇一卷功法。,
market.transmission.grade.unknown,坊市,品階未明,
market.transmission.head.category,坊市,類別,
market.transmission.head.item,坊市,功法,
market.transmission.head.price,坊市,售價,
market.transmission.head.quality,坊市,品階,
market.transmission.head.seller,坊市,傳法者,
market.transmission.loading,坊市,正在載入傳法臺,
market.transmission.page-status,坊市,共 {total} 卷，第 {page} / {totalPages} 頁,
market.transmission.page.next,坊市,下一頁,
market.transmission.page.prev,坊市,上一頁,
market.transmission.realm.unknown,坊市,境界未明,
market.transmission.ribbon.mine,坊市,我的寄售,
market.transmission.search,坊市,搜索功法,
market.transmission.search-placeholder,坊市,輸入功法名稱,
market.transmission.sort.grade-desc,坊市,品階從高到低,
market.transmission.sort.label,坊市,排序,
market.transmission.sort.name-asc,坊市,名稱順序,
market.transmission.sort.newest,坊市,最新上架,
market.transmission.sort.price-asc,坊市,售價從低到高,
market.transmission.sort.price-desc,坊市,售價從高到低,
market.transmission.sort.realm-desc,坊市,境界從高到低,
market.transmission.summary.active,坊市,在售殘卷,
market.transmission.summary.filtered,坊市,當前結果,
market.transmission.summary.listing,坊市,上架中,
market.transmission.summary.mine,坊市,我的寄售,
market.transmission.summary.result,坊市,卷,
market.transmission.summary.scroll-unit,坊市,卷,
market.transmission.summary.wallet,坊市,我的靈石,
market.transmission.tab.mine,坊市,我的寄售,
market.transmission.tab.participate,坊市,求取功法,
market.transmission.unknown-technique,坊市,未知功法,
mail.action.claim,飛書,收取信物,
mail.action.claim-selected,飛書,領取勾選,
mail.action.clear-selection,飛書,清空勾選,
mail.action.delete,飛書,刪除,
mail.action.delete-selected,飛書,刪除勾選,
mail.action.mark-read,飛書,標已閱,
mail.action.next-page,飛書,下一頁,
mail.action.prev-page,飛書,上一頁,
mail.action.select-page,飛書,全選本頁,
mail.attachment.page-meta,飛書,第 {page} / {totalPages} 頁,
mail.attachment.title,飛書,信物,
mail.detail.note,飛書,單實例詳情彈層,
mail.detail.title,飛書,郵件詳情,
mail.empty.attachments,飛書,這封郵件無信物,
mail.empty.body,飛書,這封郵件無正文內容。,
mail.empty.detail,飛書,請選擇一封郵件查看詳情,
mail.empty.list,飛書,當前篩選下暫無郵件,
mail.expire.at,飛書,到期 {time},
mail.expire.permanent,飛書,長期保留,
mail.expire.until,飛書,至 {time},
mail.filter.all,飛書,全部,
mail.filter.claimable,飛書,可取信物,
mail.filter.unread,飛書,未閱,
mail.list.note,飛書,按需拉取，不在登入首包塞整箱正文,
mail.list.title,飛書,郵件列表,
mail.modal.close-hint,飛書,點擊空白處關閉,
mail.modal.subtitle,飛書,未閱 {unreadCount} · 可取信物 {claimableCount},
mail.modal.title,飛書,飛書檯,
mail.state.claimable,飛書,可取信物,
mail.state.claimed,飛書,信物已取,
mail.state.no-attachments,飛書,無信物,
mail.state.read,飛書,已閱,
mail.state.unread,飛書,未閱,
mail.summary.claimable,飛書,可取信物,
mail.summary.claimable-note,飛書,信物取出由天道控捲，不入地圖廣播。,
mail.summary.current-filter,飛書,當前篩選,
mail.summary.empty,飛書,信箋無言,
mail.summary.page-meta,飛書,第 {page} / {totalPages} 頁，已勾選 {selectedCount} 封。,
mail.summary.page-meta-selected,飛書,第 {page} / {totalPages} 頁，已勾選 {selected} 封。,
mail.summary.unread,飛書,未閱,
mail.summary.unread-note,飛書,點入信箋，歸入已閱。,
changelog.panel.close-hint,更新日誌,點擊空白處關閉,
changelog.panel.section.title,更新日誌,更新日誌,
changelog.panel.subtitle.empty,更新日誌,暫無記載,
changelog.panel.subtitle.latest,更新日誌,最近記載：{updatedAt},
changelog.panel.title,更新日誌,歲月史書,
craft.enhancement.enhance-final-target,工坊,· 最終目標 +{level},
craft.enhancement.enhance-progress,工坊,進行中：+{current} → +{target},
craft.enhancement.enhance-role-level,工坊,角色強化等級 Lv.{level} · 效率提升 {percent},
craft.enhancement.enhance-ticks,工坊,{ticks} 息,
craft.enhancement.first-stage-rate,工坊,首階 {rate},
craft.enhancement.owned-count,工坊,持有 {count},
craft.enhancement.unknown-item,工坊,未知物品,
craft.workbench.alchemy-recipe-meta,工坊,一爐 {count} {unit} · 耗時 {ticks} 息 · {presetText},
craft.workbench.enhance-final-target,工坊,· 最終目標 +{level},
craft.workbench.enhance-progress,工坊,進行中：+{current} → +{target},
craft.workbench.enhance-role-level,工坊,角色強化等級 Lv.{level} · 效率提升 {percent},
craft.workbench.enhance-ticks,工坊,{ticks} 息,
craft.workbench.initial-copper-array-plate,工坊,凡品陣盤,
craft.workbench.initial-copper-array-plate-note,工坊,陣法入門器具,
craft.workbench.initial-copper-building-hammer,工坊,銅營造錘,
craft.workbench.initial-copper-building-hammer-note,工坊,營造入門工具,
craft.workbench.initial-copper-forging-tool,工坊,銅煉器鉗,
craft.workbench.initial-copper-forging-tool-note,工坊,煉器入門工具,
craft.workbench.initial-copper-furnace,工坊,銅胎丹爐,
craft.workbench.initial-copper-furnace-note,工坊,煉丹入門工具,
craft.workbench.initial-copper-hammer,工坊,銅強化錘,
craft.workbench.initial-copper-hammer-note,工坊,強化入門工具,
craft.workbench.initial-copper-luopan,工坊,銅羅盤,
craft.workbench.initial-copper-luopan-note,工坊,望氣入門器具,
skill.formula.meta.caster-max-hp,功法,生命,
skill.formula.meta.caster-max-qi,功法,靈力,
skill.formula.meta.caster-stat-anti-crit,功法,免爆,
skill.formula.meta.caster-stat-break-power,功法,破招,
skill.formula.meta.caster-stat-crit,功法,暴擊,
skill.formula.meta.caster-stat-crit-damage,功法,暴傷,
skill.formula.meta.caster-stat-dodge,功法,閃避,
skill.formula.meta.caster-stat-hit,功法,命中,
skill.formula.meta.caster-stat-max-hp,功法,生命,
skill.formula.meta.caster-stat-max-qi,功法,靈力,
skill.formula.meta.caster-stat-move-speed,功法,移速,
skill.formula.meta.caster-stat-phys-atk,功法,物攻,
skill.formula.meta.caster-stat-phys-def,功法,護甲,
skill.formula.meta.caster-stat-resolve-power,功法,化解,
