key,category,zh-CN,note
auction.filter.note,坊市,拍卖行交易收取 5% 手续费，最低 100 灵石。,
auction.filter.placeholder,坊市,输入拍品名,
auction.filter.search,坊市,搜索拍品,
auction.loading,坊市,拍卖行行情查探中...,
auction.ribbon.mine,坊市,我的寄拍,
auction.subtitle,坊市,竞价拍品与寄拍管理,
auction.summary.active,坊市,正在拍卖,
auction.summary.buyout,坊市,{count} 件可一口价,
auction.tab.history,坊市,成交记录,
auction.tab.mine,坊市,我的寄拍,
auction.tab.participate,坊市,参与拍卖,
auction.title,坊市,拍卖行,
market.auction.action.bid,坊市,出价,
market.auction.action.buyout,坊市,一口价,
market.auction.action.cancel-consign,坊市,撤回寄拍,
market.auction.action.create,坊市,发起拍卖,
market.auction.bid-count,坊市,{count} 次出价,
market.auction.card.mine,坊市,我的寄拍,
market.auction.card.my-bids,坊市,{count} 件正在竞价,
market.auction.card.participate,坊市,参与拍卖,
market.auction.card.storage-count,坊市,{count} 件待结算,
market.auction.consign.buyout-price,坊市,一口价,
market.auction.consign.close,坊市,收起,
market.auction.consign.duration-hours,坊市,持续时间（小时）,
market.auction.consign.duration-range,坊市,{min}-{max} 小时，默认 {default} 小时。,
market.auction.consign.empty,坊市,背包里暂无可寄拍物品。,
market.auction.consign.filtered-selected,坊市,当前已选物品被搜索条件隐藏，仍会按已选物品寄拍。,
market.auction.consign.hour-unit,坊市,小时,
market.auction.consign.insufficient-fee,坊市,{currencyName}不足，上架需要 {listingFee}。,
market.auction.consign.invalid-total,坊市,当前数量和总价无法形成有效拍卖价格。,
market.auction.consign.listing-fee,坊市,上架费,
market.auction.consign.no-buyout,坊市,不支持一口价,
market.auction.consign.no-selection,坊市,未选择,
market.auction.consign.package,坊市,打包 {count} 件,
market.auction.consign.package-count,坊市,寄拍数量,
market.auction.consign.search,坊市,搜索物品,
market.auction.consign.search-empty,坊市,没有匹配的可寄拍物品。,
market.auction.consign.search-placeholder,坊市,输入物品名称,
market.auction.consign.select-hint,坊市,先选择要打包寄拍的背包物品。,
market.auction.consign.start-price,坊市,起拍总价,
market.auction.consign.submit,坊市,确认寄拍,
market.auction.consign.subtitle,坊市,选择背包物品，按整包总价打包寄拍。,
market.auction.consign.title,坊市,发起拍卖,
market.auction.consign.total-hint,坊市,起拍总价 {totalPrice} {currencyName}，一口价 {buyoutPrice}，持续 {durationHours} 小时，上架费 {listingFee} {currencyName}。,
market.auction.consign.visible-count,坊市,{visible} / {total} 件,
market.auction.empty.mine,坊市,当前没有寄拍中的物品。,
market.auction.empty.participate,坊市,当前筛选下暂无可参与拍品。,
market.auction.feed.empty,坊市,暂无拍卖动态。,
market.auction.feed.status.bid,坊市,竞价,
market.auction.feed.status.buyout,坊市,可一口,
market.auction.head.buyout-price,坊市,一口价,
market.auction.head.current-price,坊市,当前价,
market.auction.head.item,坊市,物品,
market.auction.head.list-price,坊市,寄拍价,
market.auction.head.quality,坊市,品质,
market.auction.head.remaining,坊市,剩余,
market.auction.head.remaining-time,坊市,剩余时间,
market.auction.head.status,坊市,状态,
market.auction.hint.bid-and-buyout,坊市,出价按当前总价加一档起拍；一口价会先确认再尝试立即成交。,
market.auction.hint.remaining,坊市,剩余数量 {count}，撤回后返还至托管仓与背包。,
market.auction.hint.repeat-bid,坊市,你已经对这件物品发起竞价，不能重复出价。,
market.auction.history.role.buyer,坊市,买家,
market.auction.history.role.seller,坊市,卖家,
market.auction.history.scope.all,坊市,全部记录,
market.auction.history.scope.mine,坊市,我的记录,
market.auction.history.side.traded,坊市,成交,
market.auction.history.title.all,坊市,全服成交记录,
market.auction.history.title.default,坊市,成交记录,
market.auction.history.title.mine,坊市,我的成交记录,
market.auction.history.unknown-player,坊市,未知玩家,
market.auction.mine.copy,坊市,撤回寄拍后，剩余物品返还至托管仓与背包。,
market.auction.mine.status.consigning,坊市,寄拍中 {count},
market.auction.mine.status.failed,坊市,流拍 {count},
market.auction.mine.status.sold,坊市,已成交 {count},
market.auction.mine.title,坊市,寄拍状态,
market.auction.open,坊市,打开拍卖行,
market.auction.refresh,坊市,刷新列表,
market.auction.summary.copy,坊市,竞价、关注和寄拍集中在独立拍卖行界面处理，简报只显示当前可参与状态。,
market.auction.summary.title,坊市,拍卖简报,
market.book.action.buy,坊市,购买,
market.book.action.buy-request,坊市,求购,
market.book.action.sell,坊市,挂售,
market.book.action.sell-request,坊市,出售,
market.book.column.buy,坊市,求购,
market.book.column.sell,坊市,挂售,
market.book.empty.buy,坊市,暂无求购。,
market.book.empty.enhance-level,坊市,选定具体强化等级后查看盘面。,
market.book.empty.sell,坊市,暂无售单。,
market.book.group.hint.enhance,坊市,该装备有强化等级区分，点击左侧条目后会先进入强化等级列表。,
market.book.group.hint.normal,坊市,点击左侧物品后，这里会显示当前挂售、求购和快捷交易入口。,
market.book.loading.buy,坊市,买盘查探中...,
market.book.loading.sell,坊市,卖盘查探中...,
market.book.subtitle.enhance-select,坊市,该装备支持强化，请先从左侧选择要交易的强化等级。,
market.book.subtitle.group,坊市,{typeLabel} · 点击左侧物品查看具体盘面,
market.empty.category,坊市,当前分类下暂时没有物品。,
market.empty.select-item,坊市,请选择左侧物品。,
market.enhance.attempts,坊市,期望次数,
market.enhance.no-protection,坊市,无保护,
market.enhance.none,坊市,暂无,
market.enhance.pending,坊市,查探中,
market.enhance.time,坊市,期望时间,
market.enhance.title,坊市,强化估算,
market.filter.all,坊市,全部,
market.filter.equipment-all,坊市,全部装备,
market.filter.technique-all,坊市,全部功法,
market.history.empty,坊市,尚无交易往来。,
market.history.loading,坊市,交易记录调阅中...,
market.history.side.buy,坊市,购入,
market.history.side.sell,坊市,售出,
market.loading,坊市,坊市行情查探中...,
market.my-orders.buy,坊市,我的求购,
market.my-orders.empty.buy,坊市,当前没有求购挂单。,
market.my-orders.empty.sell,坊市,当前没有挂售单。,
market.my-orders.sell,坊市,我的挂售,
market.order.cancel,坊市,取消订单,
market.order.side.buy,坊市,求购,
market.order.side.sell,坊市,挂售,
market.pane.hint,坊市,坊市支持匿名挂售、求购与自动撮合，成交物会优先尝试进入背包，放不下时转入托管仓。,
market.pane.open,坊市,打开坊市,
market.pane.stat.listed,坊市,可见盘面,
market.pane.stat.orders,坊市,我的挂单,
market.pane.stat.storage,坊市,托管物品,
market.pane.title,坊市,坊市,
market.price.buy,坊市,买 {price},
market.price.sell,坊市,卖 {price},
market.side-tabs.title,坊市,坊市分栏,
market.status.learned,坊市,已学,
market.status.unlocked,坊市,已阅,
market.storage.claim-all,坊市,全部领取,
market.storage.empty,坊市,托管仓空空如也。,
market.storage.title,坊市,坊市托管仓,
market.subtitle,坊市,天下修士互通有无,
market.tab.market,坊市,市场,
market.tab.my-orders,坊市,我的交易,
market.tab.trade-history,坊市,交易记录,
market.tab.transmission,坊市,传法台,
market.title,坊市,坊市,
market.toolbar.page,坊市,共 {total} 件，第 {page} / {totalPages} 页,
market.toolbar.variants,坊市,{itemName} · 共 {totalVariants} 个强化等级,
market.trade.action.bid,坊市,确认加价,
market.trade.action.buy,坊市,确认求购,
market.trade.action.max,坊市,最大,
market.trade.action.sell,坊市,确认挂售,
market.trade.buy-confirm.estimate,坊市,撮合预估,
market.trade.buy-confirm.immediate,坊市,预计立即成交,
market.trade.buy-confirm.max-reserved,坊市,最高占用,
market.trade.buy-confirm.pending,坊市,剩余挂单,
market.trade.buy-confirm.pending-count,坊市,{count} 件,
market.trade.buy-confirm.quantity,坊市,购买数量,
market.trade.buy-confirm.refund-hint,坊市,若卖盘成交价低于出价，差额将自动退还。,
market.trade.buy-confirm.summary.direct,坊市,预计会按当前卖盘直接成交 {immediateQuantity} 件。,
market.trade.buy-confirm.summary.pending,坊市,当前无法保证立刻成交，确认后会按当前单价挂出求购单。,
market.trade.buy-confirm.summary.split,坊市,预计先按当前卖盘成交 {immediateQuantity} 件，剩余 {pendingQuantity} 件会继续挂为求购单。,
market.trade.buy-confirm.unit-price,坊市,单价 {unitPrice} {currencyName},
market.trade.buyout-confirm.insufficient,坊市,{currencyName}不足，无法按一口价成交。,
market.trade.buyout-confirm.lot-no,坊市,拍品编号,
market.trade.buyout-confirm.price,坊市,一口价,
market.trade.buyout-confirm.quantity,坊市,成交数量,
market.trade.buyout-confirm.quantity-value,坊市,{count} 件,
market.trade.buyout-confirm.ready,坊市,确认后会按一口价发起立即成交，不再进入加价输入。,
market.trade.buyout-confirm.total,坊市,本次支付,
market.trade.field.quantity,坊市,数量,
market.trade.field.total,坊市,总价,
market.trade.field.unit-price,坊市,单价,
market.trade.hint.conflict-buy,坊市,你已在挂售这件物品，不能再求购。,
market.trade.hint.conflict-sell,坊市,你已在求购这件物品，不能再挂售。,
market.trade.hint.insufficient-currency,坊市,{currencyName}不足，当前需要 {totalCost}。,
market.trade.hint.insufficient-step.buy,坊市,当前 {currencyName} 或数量上限不足以按该单价成交至少 {quantityStep} 件。,
market.trade.hint.insufficient-step.sell,坊市,当前持有数量不足 {quantityStep} 件，不能按该单价挂售。,
market.trade.hint.min-bid,坊市,最低加价为 {unitPrice} {currencyName}，价格只按坊市档位递增或递减。,
market.trade.hint.quantity-step,坊市,当前单价下必须按 {quantityStep} 件的倍数交易，{currencyName} x1 可买 {quantityStep} 件。,
market.trade.title.bid,坊市,拍卖加价,
market.trade.title.buy,坊市,发起求购,
market.trade.title.sell,坊市,发起挂售,
market.trade.total.bid,坊市,出价占用,
market.trade.total.buy,坊市,总价,
market.trade.total.sell,坊市,总额,
market.transmission.action.buy,坊市,求取此法,
market.transmission.action.cancel,坊市,撤回寄售,
market.transmission.category.all,坊市,全部功法,
market.transmission.category.label,坊市,功法分类,
market.transmission.category.unknown,坊市,未分类,
market.transmission.consign.choose,坊市,选择残卷,
market.transmission.consign.close,坊市,收起,
market.transmission.consign.empty,坊市,暂无可上架残卷。,
market.transmission.consign.no-selection,坊市,未选择残卷,
market.transmission.consign.open,坊市,上架残卷,
market.transmission.consign.open-short,坊市,从背包选择,
market.transmission.consign.search-empty,坊市,没有匹配的残卷。,
market.transmission.consign.selected,坊市,已选残卷,
market.transmission.consign.submit,坊市,确认上架,
market.transmission.consign.title,坊市,上架残卷,
market.transmission.consign.visible-count,坊市,{visible} / {total} 卷,
market.transmission.empty.mine,坊市,暂无寄售中的功法残卷。,
market.transmission.empty.participate,坊市,当前筛选下暂无功法残卷。,
market.transmission.empty.select,坊市,请选择一卷功法。,
market.transmission.grade.unknown,坊市,品阶未明,
market.transmission.head.category,坊市,类别,
market.transmission.head.item,坊市,功法,
market.transmission.head.price,坊市,售价,
market.transmission.head.quality,坊市,品阶,
market.transmission.head.seller,坊市,传法者,
market.transmission.loading,坊市,正在载入传法台,
market.transmission.page-status,坊市,共 {total} 卷，第 {page} / {totalPages} 页,
market.transmission.page.next,坊市,下一页,
market.transmission.page.prev,坊市,上一页,
market.transmission.realm.unknown,坊市,境界未明,
market.transmission.ribbon.mine,坊市,我的寄售,
market.transmission.search,坊市,搜索功法,
market.transmission.search-placeholder,坊市,输入功法名称,
market.transmission.sort.grade-desc,坊市,品阶从高到低,
market.transmission.sort.label,坊市,排序,
market.transmission.sort.name-asc,坊市,名称顺序,
market.transmission.sort.newest,坊市,最新上架,
market.transmission.sort.price-asc,坊市,售价从低到高,
market.transmission.sort.price-desc,坊市,售价从高到低,
market.transmission.sort.realm-desc,坊市,境界从高到低,
market.transmission.summary.active,坊市,在售残卷,
market.transmission.summary.filtered,坊市,当前结果,
market.transmission.summary.listing,坊市,上架中,
market.transmission.summary.mine,坊市,我的寄售,
market.transmission.summary.result,坊市,卷,
market.transmission.summary.scroll-unit,坊市,卷,
market.transmission.summary.wallet,坊市,我的灵石,
market.transmission.tab.mine,坊市,我的寄售,
market.transmission.tab.participate,坊市,求取功法,
market.transmission.unknown-technique,坊市,未知功法,
mail.action.claim,飞书,收取信物,
mail.action.claim-selected,飞书,领取勾选,
mail.action.clear-selection,飞书,清空勾选,
mail.action.delete,飞书,删除,
mail.action.delete-selected,飞书,删除勾选,
mail.action.mark-read,飞书,标已阅,
mail.action.next-page,飞书,下一页,
mail.action.prev-page,飞书,上一页,
mail.action.select-page,飞书,全选本页,
mail.attachment.page-meta,飞书,第 {page} / {totalPages} 页,
mail.attachment.title,飞书,信物,
mail.detail.note,飞书,单实例详情弹层,
mail.detail.title,飞书,邮件详情,
mail.empty.attachments,飞书,这封邮件无信物,
mail.empty.body,飞书,这封邮件无正文内容。,
mail.empty.detail,飞书,请选择一封邮件查看详情,
mail.empty.list,飞书,当前筛选下暂无邮件,
mail.expire.at,飞书,到期 {time},
mail.expire.permanent,飞书,长期保留,
mail.expire.until,飞书,至 {time},
mail.filter.all,飞书,全部,
mail.filter.claimable,飞书,可取信物,
mail.filter.unread,飞书,未阅,
mail.list.note,飞书,按需拉取，不在登录首包塞整箱正文,
mail.list.title,飞书,邮件列表,
mail.modal.close-hint,飞书,点击空白处关闭,
mail.modal.subtitle,飞书,未阅 {unreadCount} · 可取信物 {claimableCount},
mail.modal.title,飞书,飞书台,
mail.state.claimable,飞书,可取信物,
mail.state.claimed,飞书,信物已取,
mail.state.no-attachments,飞书,无信物,
mail.state.read,飞书,已阅,
mail.state.unread,飞书,未阅,
mail.summary.claimable,飞书,可取信物,
mail.summary.claimable-note,飞书,信物取出由天道控卷，不入地图广播。,
mail.summary.current-filter,飞书,当前筛选,
mail.summary.empty,飞书,信笺无言,
mail.summary.page-meta,飞书,第 {page} / {totalPages} 页，已勾选 {selectedCount} 封。,
mail.summary.page-meta-selected,飞书,第 {page} / {totalPages} 页，已勾选 {selected} 封。,
mail.summary.unread,飞书,未阅,
mail.summary.unread-note,飞书,点入信笺，归入已阅。,
changelog.panel.close-hint,更新日志,点击空白处关闭,
changelog.panel.section.title,更新日志,更新日志,
changelog.panel.subtitle.empty,更新日志,暂无记载,
changelog.panel.subtitle.latest,更新日志,最近记载：{updatedAt},
changelog.panel.title,更新日志,岁月史书,
craft.enhancement.enhance-final-target,工坊,· 最终目标 +{level},
craft.enhancement.enhance-progress,工坊,进行中：+{current} → +{target},
craft.enhancement.enhance-role-level,工坊,角色强化等级 Lv.{level} · 效率提升 {percent},
craft.enhancement.enhance-ticks,工坊,{ticks} 息,
craft.enhancement.first-stage-rate,工坊,首阶 {rate},
craft.enhancement.owned-count,工坊,持有 {count},
craft.enhancement.unknown-item,工坊,未知物品,
craft.workbench.alchemy-recipe-meta,工坊,一炉 {count} {unit} · 耗时 {ticks} 息 · {presetText},
craft.workbench.enhance-final-target,工坊,· 最终目标 +{level},
craft.workbench.enhance-progress,工坊,进行中：+{current} → +{target},
craft.workbench.enhance-role-level,工坊,角色强化等级 Lv.{level} · 效率提升 {percent},
craft.workbench.enhance-ticks,工坊,{ticks} 息,
craft.workbench.initial-copper-array-plate,工坊,凡品阵盘,
craft.workbench.initial-copper-array-plate-note,工坊,阵法入门器具,
craft.workbench.initial-copper-building-hammer,工坊,铜营造锤,
craft.workbench.initial-copper-building-hammer-note,工坊,营造入门工具,
craft.workbench.initial-copper-forging-tool,工坊,铜炼器钳,
craft.workbench.initial-copper-forging-tool-note,工坊,炼器入门工具,
craft.workbench.initial-copper-furnace,工坊,铜胎丹炉,
craft.workbench.initial-copper-furnace-note,工坊,炼丹入门工具,
craft.workbench.initial-copper-hammer,工坊,铜强化锤,
craft.workbench.initial-copper-hammer-note,工坊,强化入门工具,
craft.workbench.initial-copper-luopan,工坊,铜罗盘,
craft.workbench.initial-copper-luopan-note,工坊,望气入门器具,
skill.formula.meta.caster-max-hp,功法,生命,
skill.formula.meta.caster-max-qi,功法,灵力,
skill.formula.meta.caster-stat-anti-crit,功法,免爆,
skill.formula.meta.caster-stat-break-power,功法,破招,
skill.formula.meta.caster-stat-crit,功法,暴击,
skill.formula.meta.caster-stat-crit-damage,功法,暴伤,
skill.formula.meta.caster-stat-dodge,功法,闪避,
skill.formula.meta.caster-stat-hit,功法,命中,
skill.formula.meta.caster-stat-max-hp,功法,生命,
skill.formula.meta.caster-stat-max-qi,功法,灵力,
skill.formula.meta.caster-stat-move-speed,功法,移速,
skill.formula.meta.caster-stat-phys-atk,功法,物攻,
